Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,semester
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,18,Uffici strutturati,OTTIMO,P,4600,6500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,10,Laboratori,NORMALE,P,1600,2300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C13,MI00003667,20,Abitazioni civili,OTTIMO,P,9000,13000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C13,MI00003667,19,Abitazioni signorili,OTTIMO,P,9300,12500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C13,MI00003667,13,Box,NORMALE,P,2700,3700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,20,Abitazioni civili,NORMALE, ,4500,6300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,20,Abitazioni civili,OTTIMO,P,9800,14500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,19,Abitazioni signorili,OTTIMO,P,12000,17500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,13,Box,NORMALE,P,2500,3600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,18,Uffici strutturati,OTTIMO,P,6400,7800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,20,Abitazioni civili,NORMALE,P,3800,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,20,Abitazioni civili,OTTIMO, ,5600,7500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,13,Box,NORMALE,P,1600,2800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,1,Ville e Villini,NORMALE,P,3500,5400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,1,Ville e Villini,OTTIMO, ,5500,6300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,9,Magazzini,NORMALE,P,800,1100,L,2024-2
